Symbol,Description
BTC-USD,Bitcoin
ETH-USD,Etherium
USDT-USD,Tether
BNB-USD,Binance Coin 
USDC-USD,USD Coin
SOL-USD,Solana
XRP-USD,XRP
LUNA1-USD,Terra
HEX-USD,Hex
ADA-USD,Cardano
UST-USD,TerraUSD
DOGE-USD,Dogecoin
BUSD-USD,Binance
AVAX-USD,Avalanche
DOT-USD,Polkadot
SHIB-USD,Shiba Inu
WBTC-USD,Wrapped Bitcoin
STETH-USD,Lido stETH
DAI-USD,Dai
MATIC-USD,Polygon
CRO-USD,Crypto.com
NEAR-USD,NEAR Protocol
LTC-USD,Litecoin
WTRX-USD,Wrapped TRON
TRX-USD,TRON
BCH-USD,Bitcoin Cash
LEO-USD,UNUS SED LEO
FTT-USD,FTX Token
LINK-USD,Chainlink
ATOM-USD,Cosmos
